LYLTY_CARD_NBR,LIFESTAGE,PREMIUM_CUSTOMER
1000,YOUNG SINGLES/COUPLES,Premium
1002,YOUNG SINGLES/COUPLES,Mainstream
1003,YOUNG FAMILIES,Budget
1004,OLDER SINGLES/COUPLES,Mainstream
1005,MIDAGE SINGLES/COUPLES,Mainstream
1007,YOUNG SINGLES/COUPLES,Budget
1009,NEW FAMILIES,Premium
1010,YOUNG SINGLES/COUPLES,Mainstream
1011,OLDER SINGLES/COUPLES,Mainstream
1012,OLDER FAMILIES,Mainstream
1013,RETIREES,Budget
1016,OLDER FAMILIES,Mainstream
1018,YOUNG SINGLES/COUPLES,Mainstream
1019,OLDER SINGLES/COUPLES,Premium
1020,YOUNG SINGLES/COUPLES,Mainstream
1022,OLDER FAMILIES,Budget
1023,MIDAGE SINGLES/COUPLES,Premium
1024,YOUNG SINGLES/COUPLES,Premium
1025,YOUNG FAMILIES,Budget
1026,MIDAGE SINGLES/COUPLES,Premium
1027,OLDER FAMILIES,Premium
1028,YOUNG SINGLES/COUPLES,Budget
1030,RETIREES,Mainstream
1034,RETIREES,Premium
1038,OLDER FAMILIES,Mainstream
1039,YOUNG FAMILIES,Mainstream
1042,YOUNG SINGLES/COUPLES,Premium
1043,YOUNG FAMILIES,Budget
1044,YOUNG FAMILIES,Mainstream
1046,YOUNG SINGLES/COUPLES,Budget
1048,OLDER FAMILIES,Mainstream
1050,YOUNG FAMILIES,Budget
1051,YOUNG SINGLES/COUPLES,Budget
1052,MIDAGE SINGLES/COUPLES,Budget
1053,MIDAGE SINGLES/COUPLES,Mainstream
1054,NEW FAMILIES,Mainstream
1055,RETIREES,Mainstream
1056,MIDAGE SINGLES/COUPLES,Mainstream
1057,MIDAGE SINGLES/COUPLES,Mainstream
1060,YOUNG SINGLES/COUPLES,Mainstream
1061,OLDER SINGLES/COUPLES,Budget
1062,YOUNG FAMILIES,Premium
1064,YOUNG FAMILIES,Budget
1065,MIDAGE SINGLES/COUPLES,Premium
1067,OLDER SINGLES/COUPLES,Mainstream
1068,YOUNG SINGLES/COUPLES,Premium
1071,YOUNG FAMILIES,Mainstream
1072,NEW FAMILIES,Premium
1074,RETIREES,Budget
1076,YOUNG SINGLES/COUPLES,Budget
1077,OLDER SINGLES/COUPLES,Premium
1080,RETIREES,Budget
1081,MIDAGE SINGLES/COUPLES,Budget
1086,YOUNG SINGLES/COUPLES,Budget
1087,RETIREES,Premium
1088,YOUNG SINGLES/COUPLES,Budget
1089,RETIREES,Mainstream
1090,OLDER FAMILIES,Budget
1091,NEW FAMILIES,Budget
1093,RETIREES,Premium
1094,NEW FAMILIES,Budget
1095,RETIREES,Mainstream
1096,OLDER SINGLES/COUPLES,Premium
1097,RETIREES,Budget
1099,OLDER SINGLES/COUPLES,Premium
1101,RETIREES,Mainstream
1102,OLDER FAMILIES,Budget
1103,OLDER FAMILIES,Budget
1104,RETIREES,Mainstream
1105,RETIREES,Premium
1107,OLDER SINGLES/COUPLES,Mainstream
1108,RETIREES,Mainstream
1109,OLDER SINGLES/COUPLES,Mainstream
1111,RETIREES,Premium
1113,YOUNG SINGLES/COUPLES,Mainstream
1114,OLDER FAMILIES,Premium
1115,RETIREES,Premium
1116,OLDER SINGLES/COUPLES,Premium
1117,OLDER SINGLES/COUPLES,Mainstream
1118,RETIREES,Mainstream
1120,YOUNG SINGLES/COUPLES,Mainstream
1121,OLDER SINGLES/COUPLES,Premium
1122,OLDER SINGLES/COUPLES,Budget
1123,MIDAGE SINGLES/COUPLES,Mainstream
1124,RETIREES,Mainstream
1125,OLDER SINGLES/COUPLES,Premium
1127,RETIREES,Mainstream
1133,YOUNG FAMILIES,Budget
1134,RETIREES,Mainstream
1136,OLDER FAMILIES,Budget
1137,MIDAGE SINGLES/COUPLES,Premium
1139,OLDER SINGLES/COUPLES,Premium
1140,RETIREES,Mainstream
1141,YOUNG SINGLES/COUPLES,Mainstream
1142,OLDER FAMILIES,Premium
1143,OLDER FAMILIES,Budget
1146,YOUNG SINGLES/COUPLES,Premium
1147,NEW FAMILIES,Premium
1149,YOUNG FAMILIES,Mainstream
1150,YOUNG SINGLES/COUPLES,Budget
1152,RETIREES,Budget
1155,OLDER SINGLES/COUPLES,Budget
1156,RETIREES,Premium
1158,OLDER SINGLES/COUPLES,Mainstream
1159,YOUNG SINGLES/COUPLES,Mainstream
1161,YOUNG SINGLES/COUPLES,Mainstream
1163,YOUNG SINGLES/COUPLES,Mainstream
1164,YOUNG SINGLES/COUPLES,Mainstream
1165,YOUNG SINGLES/COUPLES,Budget
1168,YOUNG SINGLES/COUPLES,Premium
1169,NEW FAMILIES,Budget
1170,OLDER FAMILIES,Mainstream
1171,RETIREES,Mainstream
1172,OLDER FAMILIES,Mainstream
1173,RETIREES,Mainstream
1174,OLDER SINGLES/COUPLES,Budget
1177,YOUNG SINGLES/COUPLES,Mainstream
1178,RETIREES,Mainstream
1179,YOUNG SINGLES/COUPLES,Mainstream
1181,YOUNG SINGLES/COUPLES,Premium
1182,YOUNG SINGLES/COUPLES,Budget
1183,YOUNG SINGLES/COUPLES,Budget
1184,MIDAGE SINGLES/COUPLES,Budget
1186,NEW FAMILIES,Budget
1187,YOUNG FAMILIES,Budget
1188,RETIREES,Mainstream
1189,RETIREES,Budget
1190,OLDER FAMILIES,Budget
1191,YOUNG SINGLES/COUPLES,Mainstream
1192,YOUNG SINGLES/COUPLES,Budget
1193,YOUNG SINGLES/COUPLES,Mainstream
